imu0_acc_x,imu0_acc_y,imu0_acc_z,imu0_gyro_x,imu0_gyro_y,imu0_gyro_z,imu0_timestamp,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_timestamp
-790.53,-524.41,466.31,6.89,-1.32,15.02,2025-01-22T17:47:25.118551,1033.69,-226.56,-335.94,-30.99,-36.15,-71.05,2025-01-22T17:47:25.118551
-769.04,-604.0,534.18,-9.27,51.21,50.38,2025-01-22T17:47:25.563670,1114.26,31.74,-454.1,-34.06,-85.3,-100.85,2025-01-22T17:47:25.563670
-1271.0,-613.28,519.04,-31.85,-155.22,-240.63,2025-01-22T17:47:25.959644,1104.49,-0.49,-359.38,109.92,164.84,250.13,2025-01-22T17:47:25.959644
-714.36,-572.27,712.89,34.02,-15.45,24.24,2025-01-22T17:47:26.389122,875.98,-31.25,-382.32,3.08,-49.36,-85.36,2025-01-22T17:47:26.389122
-821.29,-441.89,434.57,16.48,-4.04,32.71,2025-01-22T17:47:26.790799,1079.59,-24.9,-377.44,-29.63,-73.95,-83.87,2025-01-22T17:47:26.790799
-479.0,-502.44,412.6,16.56,-122.69,-250.14,2025-01-22T17:47:27.198299,140.14,47.36,-149.41,140.6,124.62,200.08,2025-01-22T17:47:27.198299
-1271.0,-1187.01,-129.39,83.93,-16.23,118.4,2025-01-22T17:47:27.613667,1500.49,159.67,-501.95,-86.89,-44.63,-107.3,2025-01-22T17:47:27.613667
-781.25,-481.93,476.56,20.73,-7.91,28.09,2025-01-22T17:47:28.029768,1012.7,-136.72,-285.64,-8.98,-38.6,-59.92,2025-01-22T17:47:28.029768
-505.37,-504.39,337.4,15.15,-85.98,-228.11,2025-01-22T17:47:28.478524,424.32,500.49,-355.47,31.62,75.5,182.98,2025-01-22T17:47:28.478524
-1133.79,-734.86,323.73,6.85,-16.69,143.18,2025-01-22T17:47:28.889354,1181.15,-238.77,-603.03,-86.5,-5.58,-77.31,2025-01-22T17:47:28.889354
-784.18,-535.64,512.7,11.92,-3.23,23.1,2025-01-22T17:47:29.309694,879.39,150.88,-339.84,-1.78,-36.13,-48.87,2025-01-22T17:47:29.309694
-140.14,-644.53,251.95,-25.06,-91.13,-250.14,2025-01-22T17:47:29.758310,386.72,597.17,212.4,91.4,159.88,152.32,2025-01-22T17:47:29.758310
-1038.09,-702.64,151.37,72.27,-2.92,50.95,2025-01-22T17:47:30.147950,1166.02,-44.92,-79.59,-99.31,-65.23,-121.13,2025-01-22T17:47:30.147950
-754.39,-602.05,375.0,8.08,-0.44,16.05,2025-01-22T17:47:30.564793,990.23,-82.03,-234.38,-5.1,-43.5,-60.18,2025-01-22T17:47:30.564793
-445.8,-624.02,259.28,25.92,-135.53,-250.14,2025-01-22T17:47:30.983994,441.89,-185.55,-292.97,75.35,134.15,212.44,2025-01-22T17:47:30.983994
-1158.2,-670.9,429.2,60.22,-29.27,65.72,2025-01-22T17:47:31.418624,819.82,-2.44,-237.3,-63.95,-21.73,-153.36,2025-01-22T17:47:31.418624
-806.15,-566.41,494.14,14.56,1.85,30.86,2025-01-22T17:47:31.859425,1060.55,-114.75,-279.79,-19.31,-62.21,-80.02,2025-01-22T17:47:31.859425
-1002.93,-563.96,439.94,-40.6,-150.24,-250.14,2025-01-22T17:47:32.274221,636.23,-6.35,-149.9,161.74,171.02,250.13,2025-01-22T17:47:32.274221
-764.65,-515.62,510.74,11.39,-8.27,16.15,2025-01-22T17:47:32.692172,784.18,33.2,-348.14,25.81,-36.28,-102.21,2025-01-22T17:47:32.692172
-703.61,-562.01,682.62,-2.5,13.92,16.82,2025-01-22T17:47:33.013537,916.02,24.41,-389.16,-8.63,-53.65,-66.33,2025-01-22T17:47:33.013537
-683.11,-397.95,287.6,21.87,-114.79,-250.14,2025-01-22T17:47:33.437789,427.73,715.33,-569.34,158.84,169.05,219.09,2025-01-22T17:47:33.437789
-875.98,-837.4,286.62,83.33,-14.66,79.83,2025-01-22T17:47:33.870802,1275.39,-207.03,-23.44,-77.6,-114.98,-136.3,2025-01-22T17:47:33.870802
-778.81,-527.83,600.1,2.31,20.6,27.17,2025-01-22T17:47:34.283207,1007.32,-103.03,-261.72,-10.64,-63.18,-73.51,2025-01-22T17:47:34.283207
-836.43,-432.62,584.47,-0.26,-153.56,-250.14,2025-01-22T17:47:34.682743,837.89,478.03,-1243.65,48.08,68.66,219.24,2025-01-22T17:47:34.682743
-757.81,-559.57,361.82,58.86,-27.94,72.95,2025-01-22T17:47:35.105014,982.42,-362.3,-742.68,-40.4,-55.24,-128.4,2025-01-22T17:47:35.105014
-804.69,-579.59,464.36,14.92,0.0,18.4,2025-01-22T17:47:35.510571,1012.7,-72.27,-250.0,-19.53,-43.43,-60.35,2025-01-22T17:47:35.510571
-493.65,-616.7,256.35,47.03,-98.41,-250.14,2025-01-22T17:47:35.913594,612.3,405.76,-323.24,29.18,91.82,188.45,2025-01-22T17:47:35.913594
-960.94,-765.62,404.79,86.6,-27.54,62.82,2025-01-22T17:47:36.369448,1208.5,-791.99,215.33,-116.35,-108.61,-136.02,2025-01-22T17:47:36.369448
-776.86,-463.87,571.78,5.4,17.85,25.2,2025-01-22T17:47:36.732163,999.02,-82.52,-371.58,-24.6,-50.0,-67.29,2025-01-22T17:47:36.732163
-724.61,-458.98,593.26,-29.79,-178.47,-250.14,2025-01-22T17:47:37.178077,459.96,345.7,-315.92,130.94,99.8,245.64,2025-01-22T17:47:37.178077
-681.64,-502.44,513.67,25.33,-2.34,19.21,2025-01-22T17:47:37.620615,1166.5,-194.82,-127.93,-8.31,-44.23,-70.34,2025-01-22T17:47:37.620615
-750.0,-585.45,496.58,-3.05,29.33,19.94,2025-01-22T17:47:38.007894,1067.87,-22.46,-386.72,-24.68,-54.44,-68.89,2025-01-22T17:47:38.007894
-541.02,-526.86,242.68,23.14,-142.76,-250.14,2025-01-22T17:47:38.483624,578.61,53.71,-344.73,98.24,190.03,241.54,2025-01-22T17:47:38.483624
-652.34,-413.09,587.4,7.89,-8.77,20.1,2025-01-22T17:47:38.833244,1357.91,-50.78,-593.26,-12.3,-85.58,-93.39,2025-01-22T17:47:38.833244
-895.51,-618.16,566.41,-1.53,36.71,43.44,2025-01-22T17:47:39.272265,1227.05,-39.55,-352.54,-41.57,-74.31,-99.53,2025-01-22T17:47:39.272265
-1596.68,-771.48,585.45,-69.84,-145.56,-216.66,2025-01-22T17:47:39.679728,1808.11,-110.35,-66.41,142.76,242.4,250.13,2025-01-22T17:47:39.679728
-766.6,-527.34,454.1,2.66,2.95,15.2,2025-01-22T17:47:40.086766,952.15,-81.54,-129.88,-12.76,-24.02,-80.0,2025-01-22T17:47:40.086766